income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
11.0,12.000000099999999,10.0,11.0,65.0,70.0,36
0.0,1.0,13.0,14.0,20.0,25.0,279
4.0,5.0,14.0,15.0,20.0,25.0,2
10.0,11.0,9.0,10.0,90.0,95.0,88
0.0,1.0,12.0,13.0,40.0,45.0,165
9.0,10.0,13.0,14.0,35.0,40.0,664
6.0,7.0,1.0,2.0,75.0,80.0,2
6.0,7.0,6.0,7.0,25.0,30.0,9
4.0,5.0,10.0,11.0,45.0,50.0,2
10.0,11.0,4.0,5.0,20.0,25.0,17
11.0,12.000000099999999,7.0,8.0,75.0,80.0,10
10.0,11.0,2.0,3.0,30.0,35.0,13
11.0,12.000000099999999,15.0,16.0,55.0,60.0,249
8.0,9.0,2.0,3.0,35.0,40.0,13
11.0,12.000000099999999,7.0,8.0,20.0,25.0,1
8.0,9.0,3.0,4.0,25.0,30.0,19
0.0,1.0,15.0,16.0,30.0,35.0,40
7.0,8.0,12.0,13.0,55.0,60.0,19
9.0,10.0,11.0,12.0,15.0,20.0,205
3.0,4.0,14.0,15.0,25.0,30.0,1
10.0,11.0,14.0,15.0,50.0,55.0,1324
6.0,7.0,11.0,12.0,30.0,35.0,17
9.0,10.0,8.0,9.0,60.0,65.0,143
9.0,10.0,12.0,13.0,30.0,35.0,426
3.0,4.0,16.0,17.000000100000001,30.0,35.0,1
4.0,5.0,14.0,15.0,55.0,60.0,1
7.0,8.0,16.0,17.000000100000001,65.0,70.0,2
5.0,6.0,2.0,3.0,30.0,35.0,2
9.0,10.0,13.0,14.0,25.0,30.0,1003
5.0,6.0,9.0,10.0,40.0,45.0,22
5.0,6.0,6.0,7.0,20.0,25.0,2
1.0,2.0,9.0,10.0,50.0,55.0,2
11.0,12.000000099999999,15.0,16.0,65.0,70.0,97
6.0,7.0,14.0,15.0,90.0,95.0,2
10.0,11.0,10.0,11.0,15.0,20.0,22
10.0,11.0,12.0,13.0,50.0,55.0,976
8.0,9.0,11.0,12.0,80.0,85.0,90
0.0,1.0,9.0,10.0,55.0,60.0,518
0.0,1.0,16.0,17.000000100000001,85.0,90.0,1
7.0,8.0,5.0,6.0,90.0,95.0,2
5.0,6.0,3.0,4.0,55.0,60.0,1
10.0,11.0,8.0,9.0,90.0,95.0,15
0.0,1.0,7.0,8.0,80.0,85.0,7
6.0,7.0,14.0,15.0,35.0,40.0,14
6.0,7.0,9.0,10.0,40.0,45.0,59
0.0,1.0,7.0,8.0,15.0,20.0,332
8.0,9.0,9.0,10.0,80.0,85.0,474
8.0,9.0,14.0,15.0,35.0,40.0,72
7.0,8.0,1.0,2.0,45.0,50.0,8
10.0,11.0,12.0,13.0,25.0,30.0,880
6.0,7.0,11.0,12.0,70.0,75.0,2
8.0,9.0,12.0,13.0,65.0,70.0,70
7.0,8.0,13.0,14.0,90.0,95.0,2
10.0,11.0,8.0,9.0,45.0,50.0,231
6.0,7.0,8.0,9.0,65.0,70.0,1
0.0,1.0,1.0,2.0,70.0,75.0,31
0.0,1.0,5.0,6.0,40.0,45.0,38
10.0,11.0,5.0,6.0,20.0,25.0,27
5.0,6.0,6.0,7.0,30.0,35.0,4
2.0,3.0,16.0,17.000000100000001,60.0,65.0,1
4.0,5.0,6.0,7.0,15.0,20.0,1
0.0,1.0,13.0,14.0,70.0,75.0,43
10.0,11.0,2.0,3.0,75.0,80.0,6
11.0,12.000000099999999,14.0,15.0,50.0,55.0,1214
0.0,1.0,5.0,6.0,90.0,95.0,10
10.0,11.0,1.0,2.0,15.0,20.0,2
9.0,10.0,14.0,15.0,55.0,60.0,172
6.0,7.0,9.0,10.0,60.0,65.0,58
11.0,12.000000099999999,14.0,15.0,20.0,25.0,10
10.0,11.0,7.0,8.0,70.0,75.0,60
8.0,9.0,1.0,2.0,50.0,55.0,64
7.0,8.0,8.0,9.0,35.0,40.0,14
5.0,6.0,3.0,4.0,50.0,55.0,3
3.0,4.0,10.0,11.0,25.0,30.0,1
6.0,7.0,4.0,5.0,40.0,45.0,5
8.0,9.0,7.0,8.0,65.0,70.0,73
10.0,11.0,15.0,16.0,65.0,70.0,71
7.0,8.0,2.0,3.0,25.0,30.0,1
7.0,8.0,15.0,16.0,75.0,80.0,4
11.0,12.000000099999999,11.0,12.0,25.0,30.0,83
5.0,6.0,10.0,11.0,25.0,30.0,2
0.0,1.0,14.0,15.0,85.0,90.0,5
8.0,9.0,15.0,16.0,90.0,95.0,1
9.0,10.0,15.0,16.0,30.0,35.0,53
7.0,8.0,6.0,7.0,75.0,80.0,13
8.0,9.0,8.0,9.0,80.0,85.0,78
9.0,10.0,11.0,12.0,75.0,80.0,357
6.0,7.0,3.0,4.0,45.0,50.0,1
11.0,12.000000099999999,4.0,5.0,80.0,85.0,7
10.0,11.0,8.0,9.0,80.0,85.0,50
5.0,6.0,9.0,10.0,65.0,70.0,5
11.0,12.000000099999999,8.0,9.0,45.0,50.0,31
10.0,11.0,2.0,3.0,80.0,85.0,3
11.0,12.000000099999999,11.0,12.0,30.0,35.0,226
