income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
6.0,7.0,11.0,12.0,20.0,25.0,209.45504605611356
9.0,10.0,8.0,9.0,85.0,90.0,119.0337438174166
4.0,5.0,13.0,14.0,60.0,65.0,3.373161531692961
5.0,6.0,10.0,11.0,60.0,65.0,4.135678324137726
5.0,6.0,14.0,15.0,30.0,35.0,4.149405893355409
0.0,1.0,5.0,6.0,60.0,65.0,36.474909078879435
9.0,10.0,12.0,13.0,20.0,25.0,385.09100475875346
6.0,7.0,6.0,7.0,80.0,85.0,1.2407453395079202
11.0,12.000000099999999,10.0,11.0,65.0,70.0,36.98257153926696
0.0,1.0,13.0,14.0,20.0,25.0,279.0774363499939
4.0,5.0,14.0,15.0,20.0,25.0,2.2239967409803354
10.0,11.0,9.0,10.0,90.0,95.0,89.4915955358558
0.0,1.0,12.0,13.0,40.0,45.0,172.02435014385162
9.0,10.0,13.0,14.0,35.0,40.0,665.3481777227422
6.0,7.0,1.0,2.0,75.0,80.0,-1.2612510068463885
6.0,7.0,6.0,7.0,25.0,30.0,10.374116884270602
4.0,5.0,10.0,11.0,45.0,50.0,1.3081001312288645
10.0,11.0,4.0,5.0,20.0,25.0,16.808459263341195
11.0,12.000000099999999,7.0,8.0,75.0,80.0,12.963577929015294
10.0,11.0,2.0,3.0,30.0,35.0,6.876260714200798
11.0,12.000000099999999,15.0,16.0,55.0,60.0,247.90105522808213
8.0,9.0,2.0,3.0,35.0,40.0,9.630073225379146
11.0,12.000000099999999,7.0,8.0,20.0,25.0,1.2654443989153046
8.0,9.0,3.0,4.0,25.0,30.0,17.552343618731804
0.0,1.0,15.0,16.0,30.0,35.0,39.884381188872425
7.0,8.0,12.0,13.0,55.0,60.0,16.55125982823668
9.0,10.0,11.0,12.0,15.0,20.0,205.54098466294582
3.0,4.0,14.0,15.0,25.0,30.0,-0.7080161818076127
10.0,11.0,14.0,15.0,50.0,55.0,1326.1545251629325
6.0,7.0,11.0,12.0,30.0,35.0,15.990199415825307
9.0,10.0,8.0,9.0,60.0,65.0,141.47699128321517
9.0,10.0,12.0,13.0,30.0,35.0,423.40731579516046
3.0,4.0,16.0,17.000000100000001,30.0,35.0,8.508541301350173
4.0,5.0,14.0,15.0,55.0,60.0,0.4953923640952519
7.0,8.0,16.0,17.000000100000001,65.0,70.0,1.0249969249385669
5.0,6.0,2.0,3.0,30.0,35.0,-2.285624016722541
9.0,10.0,13.0,14.0,25.0,30.0,1004.246808897908
5.0,6.0,9.0,10.0,40.0,45.0,20.47262835886715
5.0,6.0,6.0,7.0,20.0,25.0,3.379236554630811
1.0,2.0,9.0,10.0,50.0,55.0,3.4542033224931297
11.0,12.000000099999999,15.0,16.0,65.0,70.0,96.19271713217495
6.0,7.0,14.0,15.0,90.0,95.0,1.0082390460604294
10.0,11.0,10.0,11.0,15.0,20.0,19.657476085860818
10.0,11.0,12.0,13.0,50.0,55.0,975.4831933851501
8.0,9.0,11.0,12.0,80.0,85.0,90.41954175109639
0.0,1.0,9.0,10.0,55.0,60.0,517.8153387867713
0.0,1.0,16.0,17.000000100000001,85.0,90.0,-3.2825040146212174
7.0,8.0,5.0,6.0,90.0,95.0,-2.1528890282942825
5.0,6.0,3.0,4.0,55.0,60.0,1.1102831273114642
10.0,11.0,8.0,9.0,90.0,95.0,13.474561801962512
0.0,1.0,7.0,8.0,80.0,85.0,3.5984943557296774
6.0,7.0,14.0,15.0,35.0,40.0,8.26012624382922
6.0,7.0,9.0,10.0,40.0,45.0,59.816387914890626
0.0,1.0,7.0,8.0,15.0,20.0,332.5306297525136
8.0,9.0,9.0,10.0,80.0,85.0,473.97219731117747
8.0,9.0,14.0,15.0,35.0,40.0,71.41908209127021
7.0,8.0,1.0,2.0,45.0,50.0,10.200044388767312
10.0,11.0,12.0,13.0,25.0,30.0,880.7572533924439
6.0,7.0,11.0,12.0,70.0,75.0,0.1349936193580772
8.0,9.0,12.0,13.0,65.0,70.0,70.04832120424199
7.0,8.0,13.0,14.0,90.0,95.0,0.9297150589073075
10.0,11.0,8.0,9.0,45.0,50.0,231.91084890682143
6.0,7.0,8.0,9.0,65.0,70.0,3.401697225119369
0.0,1.0,1.0,2.0,70.0,75.0,31.536751690888575
0.0,1.0,5.0,6.0,40.0,45.0,40.5412313606269
10.0,11.0,5.0,6.0,20.0,25.0,27.924563840316
5.0,6.0,6.0,7.0,30.0,35.0,0.21346515286595436
2.0,3.0,16.0,17.000000100000001,60.0,65.0,1.9095627801476684
4.0,5.0,6.0,7.0,15.0,20.0,-1.0147254543474085
0.0,1.0,13.0,14.0,70.0,75.0,44.33303470757902
10.0,11.0,2.0,3.0,75.0,80.0,6.4942014577722835
11.0,12.000000099999999,14.0,15.0,50.0,55.0,1215.8594006280944
0.0,1.0,5.0,6.0,90.0,95.0,8.21928210018249
10.0,11.0,1.0,2.0,15.0,20.0,3.339805804746401
9.0,10.0,14.0,15.0,55.0,60.0,172.7278212100827
6.0,7.0,9.0,10.0,60.0,65.0,57.60015550635818
11.0,12.000000099999999,14.0,15.0,20.0,25.0,11.900998986470812
10.0,11.0,7.0,8.0,70.0,75.0,64.21796330485485
8.0,9.0,1.0,2.0,50.0,55.0,57.55497971960529
7.0,8.0,8.0,9.0,35.0,40.0,14.50752022619593
5.0,6.0,3.0,4.0,50.0,55.0,4.364755285604016
3.0,4.0,10.0,11.0,25.0,30.0,1.4852298432782354
6.0,7.0,4.0,5.0,40.0,45.0,3.774607894436274
8.0,9.0,7.0,8.0,65.0,70.0,72.51612626692773
10.0,11.0,15.0,16.0,65.0,70.0,67.83483681424312
7.0,8.0,2.0,3.0,25.0,30.0,4.847096003858713
7.0,8.0,15.0,16.0,75.0,80.0,6.305449981916972
11.0,12.000000099999999,11.0,12.0,25.0,30.0,84.73317912288105
5.0,6.0,10.0,11.0,25.0,30.0,6.3666361120388295
0.0,1.0,14.0,15.0,85.0,90.0,-0.3025552718697666
8.0,9.0,15.0,16.0,90.0,95.0,1.6929755769207087
9.0,10.0,15.0,16.0,30.0,35.0,51.09632592573894
7.0,8.0,6.0,7.0,75.0,80.0,15.501234951953805
8.0,9.0,8.0,9.0,80.0,85.0,73.73128267893424
9.0,10.0,11.0,12.0,75.0,80.0,356.3335944038186
6.0,7.0,3.0,4.0,45.0,50.0,1.4985404817791437
11.0,12.000000099999999,4.0,5.0,80.0,85.0,7.068608507408881
10.0,11.0,8.0,9.0,80.0,85.0,50.710714488610854
5.0,6.0,9.0,10.0,65.0,70.0,8.99110416710798
11.0,12.000000099999999,8.0,9.0,45.0,50.0,31.2262382070982
10.0,11.0,2.0,3.0,80.0,85.0,7.0666334643290964
